0:00:16.536008: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.6226789951324463, Phase: 51227.59765625
0:00:16.634001: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.9646188020706177, Phase: 51228.2109375
0:00:16.746468: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.4228878021240234, Phase: 51228.91796875
0:00:16.842109: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.3409488201141357, Phase: 51229.51953125
0:00:16.938407: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.3723974227905273, Phase: 51230.125
0:00:17.034017: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.503706693649292, Phase: 51230.7265625
0:00:17.133022: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.684680461883545, Phase: 51231.34765625
0:00:17.252830: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.0778040885925293, Phase: 51232.1015625
0:00:17.339349: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.974224805831909, Phase: 51232.640625
0:00:17.456953: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.0417520999908447, Phase: 51233.3828125
0:00:17.543215: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.184631824493408, Phase: 51233.92578125
0:00:17.637205: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.990306854248047, Phase: 51234.515625
0:00:17.753886: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.9675703048706055, Phase: 51235.24609375
0:00:17.841234: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.093975067138672, Phase: 51235.796875
0:00:17.949314: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.357093572616577, Phase: 51236.4765625
0:00:18.063022: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.204655170440674, Phase: 51237.19140625
0:00:18.163724: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.271120071411133, Phase: 51237.82421875
0:00:18.266894: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.449464797973633, Phase: 51238.47265625
0:00:18.364409: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.2149999141693115, Phase: 51239.08984375
0:00:18.450893: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.169121742248535, Phase: 51239.625
0:00:18.556954: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.359524965286255, Phase: 51240.2890625
0:00:18.653352: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.1268973350524902, Phase: 51240.89453125
0:00:18.765057: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.031397581100464, Phase: 51241.59765625
0:00:18.847308: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.179226875305176, Phase: 51242.11328125
0:00:18.955307: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.9468131065368652, Phase: 51242.7890625
0:00:19.070017: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.924999952316284, Phase: 51243.51171875
0:00:19.156400: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.0787241458892822, Phase: 51244.05078125
0:00:19.253662: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.8156039714813232, Phase: 51244.66796875
0:00:19.363741: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.6184661388397217, Phase: 51245.359375
0:00:19.455493: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.4038140773773193, Phase: 51245.9375
0:00:19.573144: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.6962227821350098, Phase: 51246.67578125
0:00:19.650976: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.7961862087249756, Phase: 51247.15625
0:00:19.765649: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.7770655155181885, Phase: 51247.87890625
0:00:19.864910: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.640343189239502, Phase: 51248.5078125
0:00:19.977591: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.007107973098755, Phase: 51249.20703125
0:00:20.074123: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.133345603942871, Phase: 51249.81640625
0:00:20.167989: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.050687789916992, Phase: 51250.40625
0:00:20.275768: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.7750747203826904, Phase: 51251.0859375
