0:00:15.573767: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:15.683691: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:15.778152: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:15.856706: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:15.966509: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.060711: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.155003: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.249416: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.343467: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.437638: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.532118: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.626260: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.736249: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.798689: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:16.924764: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.019205: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.113016: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.175896: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.285952: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.380112: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.474316: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
